Question,SAA,NOP,RAA,ITD,MDM,JKM,AMT,MTS,BPS,JBBM,LMI,ATP,ATK,HMA,PPM,CES,MRMS,DLA,MSA,JRBM,RBB,NGM,MGA,ASG,ALU,NDT,MAP,DTL,ALD,SAM,AHUA,NPA,SGHU,NMG,ALHU,,AVERAGE COMPETENCY LEVEL OF ALL STAFF FOR EACH COMPETENCY
ANALYTICAL AND CRITICAL THINKING SKILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.         I can identify key issues and draw conclusions from the information provided to me.,4,2,5,2,3,3,2,1,2,5,3,3,3,5,2,5,4,2,2,4,5,4,3,1,4,5,3,5,2,4,3,5,4,3,2,,
2.         I break down complex problems into smaller parts to better understand and analyze them.,4,4,6,3,2,3,3,3,2,5,4,4,1,5,1,4,3,2,3,4,6,3,3,5,4,4,3,5,2,5,4,5,3,7,3,,
3.         I use data and evidence to support my analyses and recommendations.,4,4,5,3,6,4,3,2,4,5,3,3,3,5,2,5,3,3,2,3,7,4,3,5,5,7,3,3,3,6,3,6,4,2,2,,
4.         I develop innovative solutions by thinking critically about the implications of my analysis.,3,4,5,2,5,3,4,3,3,5,4,4,3,4,3,4,5,2,2,3,5,4,4,3,4,6,4,4,2,5,4,6,3,4,3,,
5.         I challenge existing assumptions and generate groundbreaking insights through my analysis.,4,3,4,3,3,4,3,4,1,4,2,3,3,5,3,4,3,1,1,2,6,3,2,4,4,5,5,4,3,4,3,5,2,3,3,,
AVERAGE RATING OF EACH STAFF FOR ANALYTICAL AND CRITICAL THINKING SKILLS,3.8,3.4,5,2.6,3.8,3.4,3,2.6,2.4,4.8,3.2,3.4,2.6,4.8,2.2,4.4,3.6,2,2,3.2,5.8,3.6,3,3.6,4.2,5.4,3.6,4.2,2.4,4.8,3.4,5.4,3.2,3.8,2.6,,3.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATIVITY AND INNOVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.         I am open to new ideas and approaches in my work.,5,4,5,3,4,4,4,3,2,4,3,4,2,5,4,6,5,3,2,3,7,6,4,5,5,7,4,3,2,6,3,6,4,4,4,,
7.         I suggest creative solutions to problems that go beyond conventional thinking.,4,4,4,2,5,4,4,3,5,4,3,3,3,4,3,6,4,1,1,4,6,4,3,5,5,5,3,4,3,5,4,5,3,3,3,,
8.         I take calculated risks to try out innovative ideas and learn from the results.,5,5,4,3,6,5,3,5,3,4,2,2,3,3,4,5,5,2,2,3,5,3,3,5,4,6,3,4,3,5,4,5,2,5,2,,
9.         I develop and implement original projects that significantly improve our services.,5,5,5,4,3,3,3,2,5,4,3,5,4,4,3,5,3,2,2,2,7,5,3,4,5,7,4,5,4,5,4,6,4,3,2,,
